Model,Vcruise,Vcruise_kmh
15 AC Sedan,91.0,168.532
11 CC Super Chief,83.0,153.716
7 CCM Champ,78.0,144.45600000000002
7 DC Champ,78.0,144.45600000000002
7 AC Champ,74.0,137.048
11 AC Chief,72.0,133.344
PA-60-700P Aerostar (preliminary),230.0,425.96000000000004
PA-602P Aerostar,247.0,457.444
"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",235.0,435.22
PA-601B turbochg Aerostar (prior'80=less perf),237.0,438.92400000000004
"PA-601, 601A, turbochg Aerostar",236.0,437.072
"PA-600,600A,-Aerostar",212.0,392.624
G164B Turbine (spec for 680 hp),113.0,209.276
G164C-600 AG-CAT (design category) sprayer,91.0,168.532
G164B-600 AG-CAT (design category) sprayer,100.0,185.20000000000002
G164A-600 AG-CAT (design category),96.0,177.792
G164B-525 (design-sprayer) prior'78=25/11 length,91.0,168.532
G164B-450 (hopper=325 gal),100.0,185.20000000000002
G164B-450 AG CAT (design category) sprayer,91.0,168.532
G164A-450 AG CAT (design category),91.0,168.532
G164A-300 AG CAT,74.0,137.048
G164A-275 AG CAT,74.0,137.048
G164A-245 AG CAT,70.0,129.64000000000001
G164A-220 AG CAT,70.0,129.64000000000001
A-2,108.0,200.01600000000002
F-1,104.0,192.608
415-G,96.0,177.792
CH-601-XL/i/650-LS/i,113.0,209.276
AT-802A,166.0,307.432
AT-602,126.0,233.352
AT-503A,126.0,233.352
AT-502,126.0,233.352
AT-402,105.0,194.46
AT-401,105.0,194.46
AT-400,185.0,342.62
AT-302A,182.0,337.064
AT-302,182.0,337.064
AT-301A,152.0,281.504
AT-301,155.0,287.06
8KCAB-180 Super Decathlon (w/optional speed kit),150.0,277.8
8KCAB-150 F/P prop(w/optional speed kit),137.0,253.72400000000002
8GCBC (max speed w/8047 fixed-pitch prop),122.0,225.94400000000002
7KCAB,109.0,201.86800000000002
7GCB,103.0,190.756
7GCAA,109.0,201.86800000000002
7GCBC,111.0,205.572
7GCBC with EDO floats,90.0,166.68
7ECA,107.0,198.16400000000002
7EC,97.0,179.644
7ACA,75.0,138.9
"GA-7 Cougar (twin) '77 svc. ceils=18,300 &4,900",160.0,296.32
AG5B Tiger (prior '79 height=8/0),139.0,257.428
AA5A Cheetah (prior '79 height=8/0),127.0,235.204
AA5 Traveler ('75=+ 7 mph speed),122.0,225.94400000000002
AA-1B Trainer,108.0,200.01600000000002
AA-1A Trainer,109.0,201.86800000000002
Legend Cub AL11C-100,84.0,155.568
Husky A-1 (formerly Christen Industries),113.0,209.276
S-2D AG Commander,96.0,177.792
S-2R-R3S/PZL 600,108.0,200.01600000000002
S-2R-1340/P&W 600 Thrush ('69 length=28/4),108.0,200.01600000000002
S-2R-800 Thrush (prior '76 length =28/11),119.0,220.388
S-2R-T34-Turbo (400 gal hopper),130.0,240.76000000000002
S-2R-1820/510,135.0,250.02
Allegro,138.0,255.57600000000002
AT-602,126.0,233.352
Beechjet 400 (400A has increased weights),,
Premier IA,520.26,963.52152
Starship 2000 (2000A=increased spds & weights),328.0,607.456
Super King Air 360,263.0,487.076
350 Super King Air,303.0,561.1560000000001
300 Super King Air (300LW has decr. weights),300.0,555.6
King Air 260,259.0,479.668
King Air 250,181.0,335.212
B200 Super King Air,279.0,516.708
"200 Super King Air (prior '79 serv. ceil=31,000)",272.0,503.744
"B100 King Air (prior '79 serv. ceiling=29,100)",258.0,477.81600000000003
A100 King Air,235.0,435.22
100 King Air,239.0,442.62800000000004
F90-1 King Air,265.0,490.78000000000003
F90 King Air,261.0,483.372
E 90 King Air,245.0,453.74
"C90A King Air (LJ-1063 up) (10,100 g/w=SN1138 up)",240.0,444.48
"C 90,C90-1 (-1 has increased speed)",217.0,401.884
C90 GT King Air,208.0,385.216
B 90 King Air,219.0,405.588
A 90 King Air,216.0,400.03200000000004
90 King Air,235.0,435.22
88 Queen Air pressurized,192.0,355.584
B 80 Queen Air 1973 thru 1978,196.0,362.992
B 80 Queen Air - specs thru 1972,195.0,361.14000000000004
A 80 Queen Air,200.0,370.40000000000003
80 Queen Air,191.0,353.732
70 Queen Air,186.0,344.47200000000004
A 65 Queen Air,186.0,344.47200000000004
65 Queen Air,186.0,344.47200000000004
B 60 Duke pressurized (prior '78 t/o run=2006),233.0,431.516
A 60 Duke pressurized,240.0,444.48
60 Duke Pressurized,236.0,437.072
H 18 Super Twin Beech,191.0,353.732
G 18 Super Twin Beech,186.0,344.47200000000004
E 18 Super Twin Beech,187.0,346.324
D 18 S Twin Beech,183.0,338.916
"H,J 50 Twin Bonanza supercharged",180.0,333.36
"E,F,G 50 Twin Bonanza supercharged",184.0,340.76800000000003
"D50,A,B,C,E Twin Bonanza",178.0,329.656
C 50 Twin Bonanza,161.0,298.172
B 50 Twin Bonanza,159.0,294.468
50 Twin Bonanza,158.0,292.61600000000004
58 P Baron(325) pressurized (range based on 190 gal fuel),232.0,429.66400000000004
58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),214.0,396.32800000000003
58 P Baron turbochg.- specs thru 1976,207.0,383.36400000000003
58 TC Baron (325) turbochg-non-pressurized,232.0,429.66400000000004
58 TC Baron (non-press/turbo) '78 length=9/2,214.0,396.32800000000003
58 Baron (300 hp),195.0,361.14000000000004
58 Baron ('76 & prior fuel=166 gal opt),195.0,361.14000000000004
A56TC Turbo Baron,247.0,457.444
56 TC Turbo Baron ('67 & '68 fuel=178 gal opt),247.0,457.444
E 55 Baron ('70-'72 fuel=142 gal opt),195.0,361.14000000000004
"C55, D55 Baron",200.0,370.40000000000003
B 55 Baron (1978 & up),184.0,340.76800000000003
B55 (SN955 & up=5000 g/w; SN 502 thru 954 elig 5100 g/w),196.0,362.992
A 55 Baron,191.0,353.732
55 Baron,191.0,353.732
E 95 Travel Air (fuel inj.),174.0,322.248
"B 95A, D 95A Travel Air (fuel inj.)",174.0,322.248
"95, B95 Travel Air (95 = 4,000 lb. gross)",170.0,314.84000000000003
